,Artist Name,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
108,Kelsea Ballerini,0.607,0.418,-6.997,0.0363,0.394,0.0,0.182,0.386,95.002
109,Kevin Jonas,0.605,0.846,-4.581,0.0778,0.000738,1.25e-06,0.053,0.764,132.997
110,King,0.62,0.591,-5.21,0.067,0.0873,0.0,0.0964,0.432,95.812
111,Kole,0.458,0.411,-13.177,0.158,0.606,0.0,0.106,0.595,74.457
112,Kygo,0.6656666666666666,0.654,-6.152,0.07686666666666665,0.19599999999999998,5.0999999999999995e-06,0.2008,0.4789999999999999,109.63366666666667
113,LANY,0.6565,0.544375,-8.022875,0.06365,0.393,0.0006372725000000001,0.1339,0.411375,111.61725
114,LAY,0.925,0.594,-5.755,0.0454,0.0341,0.00232,0.107,0.885,117.993
115,Labrinth,0.4175,0.3965,-8.633000000000001,0.050199999999999995,0.3309,6.95e-05,0.20475000000000002,0.186,136.7215
116,Lana Del Rey,0.41879999999999995,0.5252,-8.2735,0.0385,0.42042,0.0606996,0.14087,0.23298999999999997,101.688
117,Larry Saperstein,0.571,0.655,-6.042,0.0836,0.216,0.0,0.162,0.694,75.983
118,Lauv,0.6561666666666667,0.5477500000000001,-7.781833333333334,0.10454999999999999,0.30540833333333334,7.2705e-05,0.16253333333333334,0.37775000000000003,101.6145
119,Liam Payne,0.6733333333333333,0.7032222222222223,-5.201,0.08933333333333333,0.1660111111111111,6.877777777777778e-06,0.18031111111111112,0.5434444444444444,112.22233333333332
120,Little Mix,0.653,0.7055,-4.749375000000001,0.07985,0.1620875,2.074875e-05,0.219075,0.608,106.934375
121,Lizzy McAlpine,0.522,0.251,-12.626,0.0603,0.871,0.000258,0.0769,0.303,137.366
122,Lorde,0.6533,0.5178,-8.4892,0.08405,0.283691,0.09051506499999999,0.14285,0.29374,105.47049999999999
123,Louis Tomlinson,0.5741111111111111,0.7512222222222222,-4.684888888888889,0.08416666666666667,0.053603,0.0006624066666666667,0.17663333333333334,0.5626666666666666,124.48177777777778
124,Lucy Hale,0.575,0.8092222222222223,-3.8231111111111113,0.051088888888888885,0.17109666666666667,1.7666666666666666e-07,0.20674444444444445,0.6535555555555556,135.99333333333334
125,Ludwig Göransson,0.476,0.439,-10.827,0.0348,0.164,5.35e-05,0.101,0.12,104.707
126,Luis Fonsi,0.733,0.897,-3.652,0.0389,0.0391,0.0,0.117,0.649,96.006
127,Luke Hemmings,0.45890000000000003,0.689,-6.631100000000001,0.037669999999999995,0.27224,0.046099858,0.10284,0.40040000000000003,116.5107
128,Lyn Lapid,0.708,0.617,-8.743,0.0395,0.58,0.0961,0.0999,0.496,122.017
129,MAX,0.667,0.627,-7.184,0.122,0.248,0.0,0.174,0.498,143.948
130,Maggie Lindemann,0.5748333333333334,0.8396666666666667,-4.163666666666667,0.06896666666666666,0.091175,0.023668336666666668,0.17703333333333335,0.5575,140.466
131,Maia Mitchell,0.735,0.874,-5.28,0.035,0.229,0.0,0.69,0.715,126.053
132,Manchester Orchestra,0.299,0.399,-12.176,0.0376,0.816,0.00117,0.147,0.302,158.253
133,Mark Linn-Baker,0.78,0.482,-9.557,0.429,0.565,0.0,0.491,0.596,112.221
134,Mark Ronson,0.601,0.794,-5.844,0.0671,0.00987,1.36e-06,0.418,0.244,114.066
135,Marshmello,0.67875,0.7697499999999999,-5.138,0.0606,0.056729999999999996,0.0004761025,0.21227500000000002,0.54125,107.258
136,Martin Garrix,0.6799999999999999,0.5385,-7.435499999999999,0.06555,0.384,0.162,0.28900000000000003,0.2625,124.48400000000001
137,Martin Jensen,0.601,0.674,-5.638,0.125,0.0561,0.0,0.117,0.596,180.055
138,Matt Cornett,0.763,0.5955,-7.875,0.077925,0.300775,0.04775,0.137,0.6975,114.0535
139,McClain Sisters,0.6669999999999999,0.7643333333333334,-4.620833333333334,0.07816666666666668,0.134,0.0,0.14959999999999998,0.5653333333333334,131.33283333333335
140,Meg Donnelly,0.63,0.7755,-6.475,0.0876,0.048315,0.005,0.0865,0.627,159.4955
141,Meghan Trainor,0.7264,0.7072,-5.1922,0.08674,0.22393999999999997,7.2804e-05,0.28473000000000004,0.7713,120.452
142,Melanie Martinez,0.626,0.7009000000000001,-5.579400000000001,0.05902,0.25038,0.001979682,0.2451,0.46900000000000003,135.7985
143,Mena Massoud,0.395,0.375,-7.948,0.034,0.225,0.0,0.145,0.131,121.04
144,Miley Cyrus,0.6145,0.622125,-4.954125,0.03995,0.15365499999999999,2.31125e-05,0.1294875,0.46799999999999997,121.50574999999999
145,Milo Manheim,0.706,0.714375,-6.225125,0.0514125,0.243494125,0.00081243625,0.1567625,0.57175,121.393
146,Miranda Cosgrove,0.48550000000000004,0.8664999999999999,-4.4323,0.07625,0.031367,0.00873325,0.17034,0.514,141.4869
147,Mitchel Musso,0.6096363636363636,0.8658181818181819,-4.568818181818181,0.0559,0.06903436363636363,7.745454545454545e-06,0.2447909090909091,0.6893636363636364,124.75809090909091
148,Mitski,0.44480000000000003,0.524,-8.133799999999999,0.030819999999999997,0.2402415,0.06784764,0.17993,0.31894999999999996,108.5738
149,Mother Mother,0.5887,0.7194,-4.5563,0.07688,0.181079,0.003202017,0.19841999999999999,0.34619999999999995,120.1473
150,NCT DREAM,0.619,0.881,-4.683,0.0834,0.0632,0.0,0.103,0.769,160.145
151,NF,0.716,0.5135000000000001,-5.525,0.0587,0.3615,0.0,0.14325,0.3785,109.054
152,NOTD,0.6905,0.7945,-4.054,0.13215,0.05545,0.0,0.14150000000000001,0.632,107.98750000000001
153,Naomi Scott,0.48675,0.53625,-7.8235,0.045225,0.382425,3.55e-07,0.134075,0.26775,126.54599999999999
154,Nelly Furtado,0.754,0.663,-6.367,0.0411,0.0246,3.76e-05,0.12,0.757,128.028
155,New Hope Club,0.6621111111111111,0.6681111111111111,-5.353666666666666,0.06108888888888889,0.22723333333333334,0.0,0.14714444444444444,0.6134444444444445,107.06633333333333
156,Niall Horan,0.579625,0.6085,-5.556125,0.0380375,0.235905,0.0,0.2025,0.4545,101.144125
157,Nicholas Galitzine,0.421,0.427,-7.78,0.0307,0.299,2.1e-06,0.0733,0.0623,131.2
