Artist ID,Track Name,Popularity
4m4SfDVbF5wxrwEjDKgi4k,With Ur Love (feat. Juicy J),35
4m4SfDVbF5wxrwEjDKgi4k,Sirens,44
4m4SfDVbF5wxrwEjDKgi4k,One Drink Away,44
4m4SfDVbF5wxrwEjDKgi4k,Baddest,42
4m4SfDVbF5wxrwEjDKgi4k,Lost,38
57WHJIHrjOE3iAxpihhMnp,Back to You (feat. Bebe Rexha & Digital Farm Animals),65
57WHJIHrjOE3iAxpihhMnp,Just Hold On,56
57WHJIHrjOE3iAxpihhMnp,Written All Over Your Face,62
57WHJIHrjOE3iAxpihhMnp,Out Of My System,60
57WHJIHrjOE3iAxpihhMnp,Bigger Than Me,59
57WHJIHrjOE3iAxpihhMnp,Always You,59
57WHJIHrjOE3iAxpihhMnp,Holding On To Heartache,59
57WHJIHrjOE3iAxpihhMnp,Silver Tongues,59
57WHJIHrjOE3iAxpihhMnp,Miss You,59
57WHJIHrjOE3iAxpihhMnp,Chicago,58
5JZ7CnR6gTvEMKX4g70Amv,I Like Me Better,81
5JZ7CnR6gTvEMKX4g70Amv,Steal The Show,75
5JZ7CnR6gTvEMKX4g70Amv,Potential,73
5JZ7CnR6gTvEMKX4g70Amv,Love U Like That,73
